customer_id,churn
15636428,1
15745201,0
15787693,1
15765173,1
15575243,0
15585580,1
15797065,0
15610343,1
15749669,0
15779581,1
15710978,0
15581626,1
15585388,0
15803538,1
15645371,1
15645323,1
15615430,1
15708048,0
15786789,0
15797219,1
15780359,0
15732437,1
15796813,1
15750867,1
15647570,0
15690898,0
15685947,1
15792862,1
15585067,1
15686236,1
15718369,0
15705657,0
15648047,0
15755330,1
15580872,0
15735837,0
15748691,0
15737354,0
15694666,1
15731327,0
15689886,1
15692142,1
15770719,0
15669516,0
15782468,1
15727421,0
15771442,1
15653275,1
15650026,1
15737741,1
15566292,0
15793455,1
15687001,1
15665376,0
15707602,1
15655082,1
15677288,1
15795878,0
15570002,1
15672754,1
15792660,0
15569394,0
15605826,1
15732281,1
15606115,1
15571869,1
15748639,0
15775294,1
15640521,1
15714485,1
15641158,1
15625740,0
15811588,1
15689786,1
15620936,0
15737071,1
15653715,0
15731890,0
15658987,0
15629575,1
15729377,0
15769915,0
15606755,1
15608230,0
15726289,0
15719827,0
15710164,1
15701738,1
15612207,1
15597901,0
15619029,0
15709016,1
15808175,1
15648800,1
15770185,0
15669411,1
15593128,1
15624388,1
15724076,1
15731330,0
15643439,0
15774401,1
15755868,0
15746662,0
15779481,0
15588695,1
15646784,0
15612095,1
15677336,1
15616221,1
15799720,0
15717191,1
15705639,0
15726494,1
15704231,0
15680855,0
15726931,1
15774854,1
15659236,0
15711314,1
15569670,0
15606232,0
15801904,1
15772337,1
15605742,1
15628530,0
15621815,0
15662641,0
15645271,1
15586133,1
15738148,1
15736420,1
15733361,1
15753847,1
15668669,1
15675337,1
15645569,0
15764284,0
15599074,0
15721426,1
15805884,0
15605665,0
15589541,0
15699238,0
15723400,0
15612771,0
15758252,0
15658459,0
15739931,0
15779586,0
15784042,1
15659325,0
15663168,0
15709643,0
15629078,1
15625092,1
15701376,0
15645103,0
15670080,0
15610446,1
15583850,0
15666297,1
15613102,1
15806901,0
15578671,1
15616630,0
15566633,0
15709474,1
15620832,0
15750447,1
15726720,1
15603111,1
15592412,1
15595426,1
15654274,0
15772798,0
15654577,1
15738411,0
15655298,0
15801247,0
15785326,0
15778155,1
15598695,0
15585853,1
15567855,0
15757981,0
15814519,0
15726234,0
15814405,1
15657214,0
15666055,1
15685290,1
15788480,1
15680430,0
15672447,1
15680112,0
15672357,0
15604093,1
15710450,0
15701364,0
15692750,1
15643635,0
15622478,1
15672144,1
15796764,1
15808389,0
15734659,0
15713346,0
15730287,1
15569438,0
15665077,1
15773273,0
15641782,1
15777901,1
15784844,1
15798310,0
15772781,1
15633818,0
15592816,1
15668445,0
15687903,0
15802585,0
15782550,0
15565706,1
15627262,0
15661821,1
15796313,1
15649150,1
15715907,1
15739578,1
15757759,1
15686461,0
15692416,1
15634772,0
15627305,1
15724336,0
15595036,0
15655794,0
15642391,1
15636330,1
15749130,0
15734578,0
15763662,0
15679663,0
15788494,0
15806796,0
15764314,0
15695339,1
15692430,0
15605264,0
15681332,1
15668893,0
15694946,0
15609758,1
15659495,0
15611318,1
15748696,0
15622518,1
15755678,1
15637476,1
15616676,1
15617331,1
15713845,1
15786014,0
15761053,1
15812272,1
15631070,1
15693817,0
15705352,0
15745355,0
15696047,0
15813113,1
15783865,0
15607312,1
15626414,0
15605531,0
15578866,0
15589312,0
15673578,0
15635116,1
15592645,0
15651581,1
15631063,0
15628219,1
15802478,0
15621021,0
15651001,0
15744979,0
15795737,0
15663933,1
15596228,0
15571305,1
15614361,0
15696989,1
15650351,0
15680517,1
15676404,1
15678317,0
15696301,1
15741633,0
15800434,1
15667002,0
15738267,1
15664311,0
15687491,1
15627741,0
15768600,1
15759874,1
15572626,0
15700460,1
15565891,0
15623647,0
15707861,1
15688849,1
15776780,1
15680767,0
15608166,0
15646513,1
15613699,1
15776985,0
15784099,0
15675964,1
15704583,1
15617166,0
15705953,1
15631603,0
15672012,1
15679738,1
15812210,1
15635728,0
15643048,0
15608726,0
15681026,1
15759244,0
15772528,1
15755084,0
15612667,0
15697510,1
15721007,1
15720847,0
15695034,0
15779176,1
15573077,1
15745080,0
15650098,0
15573318,0
15800688,0
15789097,1
15583755,0
15633233,1
15791102,1
15576111,0
15670496,0
15646037,0
15745250,1
15612931,0
15775703,1
15718588,0
15641366,1
15582154,0
15761654,0
15745794,0
15678727,1
15597968,1
15745324,1
15619653,1
15591036,1
15653784,0
15658716,1
15611088,0
15784124,1
15693771,1
15693996,0
15785342,0
15754605,0
15607275,1
15734762,1
15702541,1
15599090,0
15768193,0
15565806,0
15783019,1
15692291,1
15803202,1
15588080,1
15798709,0
15753888,1
15806467,1
15650018,0
15587573,0
15786199,0
15733247,1
15630511,0
15807525,1
15566708,1
15602735,1
15745354,0
15639117,1
15763108,1
15656937,0
